licno,address,capacity,boro,bbl,factype,cd,zipcode,juris,longitude,latitude,TableDate
1146395-DCA,9810 64TH AVE,180,Queens,4021010001.0,Garage,406.0,11374.0,NYCDCWP,-73.8579426,40.730073600000004,2022_08
2024014-DCA,62 MULBERRY ST,181,Manhattan,1001640017.0,Garage,103.0,10013.0,NYCDCWP,-73.99920279999999,40.7155783,2022_08
0368777-DCA,349 W 51ST ST,18,Manhattan,1010420054.0,Parking Lot,104.0,10019.0,NYCDCWP,-73.9872967,40.76411029999999,2022_08
0962302-DCA,298 MULBERRY ST,21,Manhattan,1005210001.0,Garage,102.0,10012.0,NYCDCWP,-73.9944187,40.725097,2022_08
2102252-DCA,182 E 95TH ST,112,Manhattan,1015230034.0,Garage,108.0,10128.0,NYCDCWP,-73.9503412,40.784370200000005,2022_08
1077575-DCA,129-133 W 54TH ST,44,Manhattan,1010070029.0,Parking Lot,105.0,10105.0,NYCDCWP,-73.97925409999999,40.76306339999999,2022_08
2102205-DCA,16835 ROCKAWAY BLVD,139,Queens,4133660020.0,Parking Lot,413.0,11434.0,NYCDCWP,-73.77129359999999,40.6588279,2022_08
1197266-DCA,72 JOHN ST,43,Manhattan,1000680036.0,Garage,101.0,10038.0,NYCDCWP,-74.0071994,40.7083457,2022_08
1418886-DCA,215 E 24TH ST,99,Manhattan,1009050006.0,Garage,106.0,10010.0,NYCDCWP,-73.9817045,40.739338200000006,2022_08
2087319-DCA,14736 94TH AVE,105,Queens,4099997501.0,Garage,412.0,11435.0,NYCDCWP,-73.8056575,40.6992668,2022_08
1146424-DCA,9822 63RD DR,180,Queens,4021000015.0,Garage,406.0,11374.0,NYCDCWP,-73.85788690000001,40.730842100000004,2022_08
1025779-DCA,1025 5TH AVE,95,Manhattan,1014950004.0,Garage,108.0,10028.0,NYCDCWP,-73.96093509999999,40.7796149,2022_08
1402662-DCA,330 3RD AVE,42,Manhattan,1008800042.0,Garage,106.0,10010.0,NYCDCWP,-73.9827653,40.739868200000004,2022_08
2081153-DCA,200 E END AVE,41,Manhattan,1015860021.0,Garage and Parking Lot,108.0,10128.0,NYCDCWP,-73.943526,40.7773433,2022_08
1395708-DCA,454 MANHATTAN AVE,50,Manhattan,1019467502.0,Garage,110.0,10026.0,NYCDCWP,-73.9549082,40.8071643,2022_08
1464646-DCA,750 COLUMBUS AVE,80,Manhattan,1018510008.0,Garage and Parking Lot,107.0,10025.0,NYCDCWP,-73.96896240000001,40.7940492,2022_08
2079755-DCA,425 E 79TH ST,68,Manhattan,1015590010.0,Garage and Parking Lot,108.0,10075.0,NYCDCWP,-73.951318,40.772074200000006,2022_08
1397588-DCA,1501 LEXINGTON AVE,150,Manhattan,1016240045.0,Garage,111.0,10029.0,NYCDCWP,-73.9501413,40.7861625,2022_08
2036981-DCA,312 BERGEN ST,42,Brooklyn,3003890005.0,Garage,302.0,11217.0,NYCDCWP,-73.9817776,40.6830871,2022_08
1216678-DCA,110 E END AVE,40,Manhattan,1015810030.0,Garage,108.0,10028.0,NYCDCWP,-73.9458754,40.7742511,2022_08
2105314-DCA,13107 40TH RD,60,Queens,4050667501.0,Garage,407.0,11354.0,NYCDCWP,-73.83744899999999,40.756539000000004,2022_08
1122008-DCA,370 E 76TH ST,104,Manhattan,1014500023.0,Garage,108.0,10021.0,NYCDCWP,-73.9547887,40.770327200000004,2022_08
2096223-DCA,600 COLUMBUS AVE,101,Manhattan,1012200029.0,Garage,107.0,10024.0,NYCDCWP,-73.9708535,40.7888704,2022_08
0992903-DCA,711 3RD AVE,165,Manhattan,1013180001.0,Garage,106.0,10017.0,NYCDCWP,-73.9728258,40.752159999999996,2022_08
2054358-DCA,125 PARKSIDE AVE,128,Brooklyn,3050520045.0,Garage,314.0,11226.0,NYCDCWP,-73.9648041,40.6532502,2022_08
2023581-DCA,1 N 4TH PL,76,Brooklyn,3023400004.0,Garage,301.0,11249.0,NYCDCWP,-73.9646572,40.719525399999995,2022_08
2068286-DCA,2 N 6TH ST,160,Brooklyn,3023240030.0,Garage,301.0,11249.0,NYCDCWP,-73.96331090000001,40.720858899999996,2022_08
2037397-DCA,825 2ND AVE,126,Manhattan,1013180022.0,Garage,106.0,10017.0,NYCDCWP,-73.9713823,40.7515228,2022_08
1187112-DCA,767 5TH AVE,136,Manhattan,1012940001.0,Garage,105.0,10022.0,NYCDCWP,-73.9724348,40.76360820000001,2022_08
2042301-DCA,210 CENTRAL PARK S,25,Manhattan,1010300039.0,Garage,105.0,10019.0,NYCDCWP,-73.98001459999999,40.7669638,2022_08
2044842-DCA,333 E 75TH ST,25,Manhattan,1014507501.0,Garage,108.0,10021.0,NYCDCWP,-73.95515340000001,40.770245,2022_08
0927409-DCA,3718 75TH ST,56,Queens,4012850047.0,Parking Lot,403.0,11372.0,NYCDCWP,-73.8910926,40.748409,2022_08
1099885-DCA,35 E 85TH ST,72,Manhattan,1014970021.0,Garage,108.0,10028.0,NYCDCWP,-73.95873940000001,40.7802619,2022_08
2059556-DCA,222 W 14TH ST,86,Manhattan,1006187501.0,Garage,102.0,10011.0,NYCDCWP,-74.0012991,40.738886799999996,2022_08
2017533-DCA,2350 JEROME AVE,25,Bronx,2031870018.0,Parking Lot,205.0,10468.0,NYCDCWP,-73.90253259999999,40.8599293,2022_08
0980378-DCA,860 5TH AVE,96,Manhattan,1013820069.0,Parking Lot,108.0,10065.0,NYCDCWP,-73.9687211,40.76947,2022_08
2001130-DCA,189 W 89TH ST,85,Manhattan,1012200001.0,Garage,107.0,10024.0,NYCDCWP,-73.97300899999999,40.789817799999994,2022_08
2096978-DCA,1630 E 15TH ST,257,Brooklyn,3067770017.0,Garage,315.0,11229.0,NYCDCWP,-73.9590645,40.6097324,2022_08
1417427-DCA,400 E 35TH ST,80,Manhattan,1009660001.0,Garage,106.0,10016.0,NYCDCWP,-73.9725368,40.743837799999994,2022_08
2003367-DCA,119-125 E 28TH ST,138,Manhattan,1008840112.0,Parking Lot,105.0,10016.0,NYCDCWP,-73.9827861,40.7430685,2022_08
2103532-DCA,14740 ARCHER AVE,210,Queens,4099987501.0,Garage,412.0,11435.0,NYCDCWP,-73.80678259999999,40.700536799999995,2022_08
1102349-DCA,215 W 125TH ST,60,Manhattan,1019310021.0,Parking Lot,110.0,10027.0,NYCDCWP,-73.9489388,40.8096925,2022_08
1016447-DCA,6260 99TH ST,224,Queens,4020860040.0,Garage,406.0,11374.0,NYCDCWP,-73.8579473,40.732966600000005,2022_08
1175838-DCA,182 E 73RD ST,73,Manhattan,1014070041.0,Garage,108.0,10021.0,NYCDCWP,-73.96075640000001,40.770452899999995,2022_08
1461597-DCA,38 BOWERY,140,Manhattan,1002027501.0,Garage,103.0,10013.0,NYCDCWP,-73.9971719,40.715430100000006,2022_08
0886174-DCA,7020 108TH ST,127,Queens,4022150001.0,Garage,406.0,11375.0,NYCDCWP,-73.8448882,40.722495,2022_08
1253416-DCA,68 BRADHURST AVE,63,Manhattan,1020457501.0,Garage,110.0,10039.0,NYCDCWP,-73.942262,40.823391,2022_08
2059559-DCA,97 CHARLES ST,206,Manhattan,1006210027.0,Garage,102.0,10014.0,NYCDCWP,-74.0053981,40.734890299999996,2022_08
1283348-DCA,1 ORCHARD BEACH RD,5863,Bronx,2056500001.0,Parking Lot,228.0,10464.0,NYCDCWP,-73.7981419,40.868343599999996,2022_08
1198215-DCA,2 GOLD ST,98,Manhattan,1000690018.0,Garage,101.0,10038.0,NYCDCWP,-74.0069324,40.7074097,2022_08
1262257-DCA,102 BRADHURST AVE,41,Manhattan,1020457502.0,Garage,110.0,10039.0,NYCDCWP,-73.9414119,40.824614700000005,2022_08
2021915-DCA,150 W 145TH ST,30,Manhattan,1020130050.0,Parking Lot,110.0,10039.0,NYCDCWP,-73.9382031,40.8209571,2022_08
1435944-DCA,97 DEKALB AVE,155,Brooklyn,3020870001.0,Parking Lot,302.0,11201.0,NYCDCWP,-73.9791542,40.6901956,2022_08
1010035-DCA,96 5TH AVE,48,Manhattan,1008160042.0,Garage,105.0,10011.0,NYCDCWP,-73.99363829999999,40.7366579,2022_08
1376369-DCA,220 MADISON AVE,42,Manhattan,1008660064.0,Garage,105.0,10016.0,NYCDCWP,-73.9820662,40.7495598,2022_08
2102861-DCA,201 E 17TH ST,108,Manhattan,1008980001.0,Garage,106.0,10003.0,NYCDCWP,-73.98526700000001,40.735364399999995,2022_08
1452642-DCA,304 W 49TH ST,205,Manhattan,1010390038.0,Garage,104.0,10019.0,NYCDCWP,-73.9873296,40.7617389,2022_08
1205940-DCA,60 E 12TH ST,27,Manhattan,1005570017.0,Garage,102.0,10003.0,NYCDCWP,-73.9908026,40.73287,2022_08
2082941-DCA,507 W 28TH ST,41,Manhattan,1007000027.0,Garage,104.0,10001.0,NYCDCWP,-74.0025156,40.7517075,2022_08
2097822-DCA,1 W END AVE,227,Manhattan,1011717511.0,Garage,107.0,10019.0,NYCDCWP,-73.99090190000001,40.7721994,2022_08
2050301-DCA,10 W 66TH ST,195,Manhattan,1011180022.0,Garage,107.0,10023.0,NYCDCWP,-73.979753,40.7723984,2022_08
